cont_cummunal_number,2019_kg,2019_percent
70201,84918,1.24
70202,159268,2.33
70203,332797,4.86
70204,19029,0.28
70205,62785,0.92
70206,12577,0.18
70207,16642,0.24
70208,271453,3.97
70209,162688,2.38
70210,21074,0.31
70211,33482,0.49
70212,80502,1.18
70213,40643,0.59
70214,117589,1.72
70215,69845,1.02
70216,41149,0.60
70217,117426,1.72
70218,64938,0.95
70219,78920,1.15
70221,50822,0.74
70222,84902,1.24
70223,133058,1.94
70224,72795,1.06
70357,442373,6.46
70368,35062,0.51
70602,20899,0.31
70603,200613,2.93
70604,79264,1.16
70605,33940,0.50
70606,86525,1.26
70607,76943,1.12
70608,625717,9.14
70609,146732,2.14
70612,74666,1.09
70614,232663,3.40
70615,113874,1.66
70616,81295,1.19
70617,119507,1.75
70619,72224,1.06
70620,141174,2.06
70622,43103,0.63
70623,64809,0.95
70624,261730,3.82
70625,5516,0.08
70626,16232,0.24
70627,36199,0.53
70628,14174,0.21
70629,20423,0.30
70630,168738,2.47
70801,27782,0.41
70802,55752,0.81
70803,33287,0.49
70804,37310,0.55
70805,48402,0.71
70806,26734,0.39
70807,162737,2.38
70808,46519,0.68
70809,12514,0.18
70810,7154,0.10
70811,99391,1.45
70813,17515,0.26
70814,32927,0.48
70815,2936,0.04
70816,29979,0.44
70817,28258,0.41
70819,1876,0.03
70820,45102,0.66
70821,132318,1.93
70822,8059,0.12
70823,4084,0.06
70824,33484,0.49
70825,7885,0.12
70826,29191,0.43
70827,10062,0.15
70828,285112,4.17
70830,18564,0.27
70831,29414,0.43
70832,96479,1.41
70833,38058,0.56
70834,7779,0.11
70835,25136,0.37
70836,30798,0.45
70837,27261,0.40
