cont_cummunal_number,January_kg,January_kg_percent,January_kg_AD,January_num,January_num_percent,January_num_AD
70201,6848,0.80,0.44,1,0.54,0.35
70202,12753,1.50,0.83,2,1.08,0.97
70203,31457,3.69,1.17,7,3.78,2.00
70204,0,0.00,0.28,0,0.00,0.32
70205,6804,0.80,0.12,4,2.16,0.17
70206,1385,0.16,0.02,1,0.54,0.09
70207,1578,0.19,0.06,1,0.54,0.09
70208,38743,4.55,0.58,5,2.70,0.24
70209,18425,2.16,0.21,6,3.24,0.20
70210,1674,0.20,0.11,2,1.08,0.18
70211,5022,0.59,0.10,1,0.54,0.02
70212,5526,0.65,0.53,3,1.62,0.01
70213,4784,0.56,0.03,1,0.54,0.20
70214,13461,1.58,0.14,2,1.08,0.08
70215,5621,0.66,0.36,1,0.54,0.62
70216,3159,0.37,0.23,1,0.54,0.14
70217,12759,1.50,0.22,5,2.70,0.23
70218,10006,1.17,0.23,2,1.08,0.35
70219,10853,1.27,0.12,2,1.08,0.24
70221,6218,0.73,0.01,2,1.08,0.08
70222,5621,0.66,0.58,5,2.70,0.45
70223,18587,2.18,0.24,3,1.62,0.26
70224,6988,0.82,0.24,1,0.54,0.09
70357,39815,4.68,1.79,19,10.27,0.71
70368,2805,0.33,0.18,1,0.54,0.20
70602,5476,0.64,0.34,1,0.54,0.17
70603,35639,4.18,1.25,5,2.70,1.13
70604,7512,0.88,0.28,2,1.08,0.13
70605,3828,0.45,0.05,1,0.54,0.02
70606,10671,1.25,0.01,4,2.16,0.80
70607,7257,0.85,0.27,2,1.08,0.08
70608,135631,15.93,6.78,9,4.86,2.50
70609,20589,2.42,0.27,3,1.62,0.31
70612,10644,1.25,0.16,2,1.08,0.35
70614,18553,2.18,1.22,4,2.16,1.04
70615,14784,1.74,0.07,2,1.08,0.19
70616,11017,1.29,0.11,2,1.08,0.03
70617,16636,1.95,0.21,3,1.62,0.27
70619,5130,0.60,0.45,2,1.08,0.50
70620,20327,2.39,0.32,5,2.70,0.55
70622,5056,0.59,0.04,1,0.54,0.12
70623,6497,0.76,0.18,1,0.54,0.04
70624,43501,5.11,1.28,5,2.70,1.13
70625,0,0.00,0.08,0,0.00,0.11
70626,0,0.00,0.24,0,0.00,0.58
70627,2968,0.35,0.18,1,0.54,0.09
70628,0,0.00,0.21,0,0.00,0.11
70629,2050,0.24,0.06,1,0.54,0.09
70630,9811,1.15,1.31,2,1.08,1.02
70801,3469,0.41,0.00,1,0.54,0.04
70802,8590,1.01,0.19,4,2.16,0.80
70803,3999,0.47,0.02,1,0.54,0.09
70804,5255,0.62,0.07,2,1.08,0.35
70805,4311,0.51,0.20,1,0.54,0.72
70806,3944,0.46,0.07,2,1.08,0.19
70807,23691,2.78,0.40,5,2.70,1.18
70808,4208,0.49,0.19,2,1.08,0.29
70809,1505,0.18,0.01,1,0.54,0.04
70810,1223,0.14,0.04,1,0.54,0.23
70811,12981,1.52,0.07,2,1.08,0.24
70813,2538,0.30,0.04,1,0.54,0.23
70814,3098,0.36,0.12,2,1.08,0.02
70815,0,0.00,0.04,0,0.00,0.11
70816,3294,0.39,0.05,1,0.54,0.04
70817,3895,0.46,0.04,1,0.54,0.04
70819,0,0.00,0.03,0,0.00,0.11
70820,5423,0.64,0.02,1,0.54,0.07
70821,22268,2.61,0.68,4,2.16,0.69
70822,925,0.11,0.01,1,0.54,0.04
70823,0,0.00,0.06,0,0.00,0.21
70824,2016,0.24,0.25,1,0.54,0.09
70825,0,0.00,0.12,0,0.00,0.21
70826,3237,0.38,0.05,1,0.54,0.14
70827,2195,0.26,0.11,1,0.54,0.23
70828,30367,3.57,0.60,4,2.16,0.26
70830,1640,0.19,0.08,1,0.54,0.04
70831,4019,0.47,0.04,1,0.54,0.04
70832,14310,1.68,0.27,1,0.54,0.09
70833,4973,0.58,0.03,2,1.08,0.07
70834,1411,0.17,0.05,1,0.54,0.23
70835,2687,0.32,0.05,1,0.54,0.04
70836,3234,0.38,0.07,1,0.54,0.04
70837,2470,0.29,0.11,1,0.54,0.04
