cont_cummunal_number,percentage_of_emptyings
70201,1.17
70202,2.27
70203,5.56
70204,0.21
70205,1.48
70206,0.41
70207,0.41
70208,4.26
70209,3.43
70210,1.24
70211,0.45
70212,1.54
70213,0.48
70214,1.3
70215,0.93
70216,1.34
70217,2.37
70218,0.96
70219,1.1
70221,0.65
70222,2.27
70223,1.61
70224,0.82
70357,8.58
70368,0.48
70602,0.45
70603,2.06
70604,0.79
70605,0.69
70606,1.17
70607,1.1
70608,3.09
70609,1.72
70612,2.3
70614,3.12
70615,1.17
70616,1.06
70617,1.85
70619,1.99
70620,2.81
70622,0.55
70623,0.76
70624,2.06
70625,0.07
70626,0.38
70627,0.41
70628,0.14
70629,0.41
70630,2.47
70801,0.76
70802,0.89
70803,0.41
70804,0.48
70805,0.82
70806,0.79
70807,2.33
70808,1.34
70809,0.38
70810,0.21
70811,1.1
70813,0.21
70814,1.03
70815,0.07
70816,0.38
70817,0.38
70819,0.07
70820,0.62
70821,1.58
70822,0.38
70823,0.14
70824,0.41
70825,0.27
70826,0.45
70827,0.21
70828,2.71
70830,0.38
70831,0.38
70832,0.82
70833,0.76
70834,0.21
70835,0.38
70836,0.38
70837,0.38
